reward_today,future_reward,delay,key_resp.keys,k,
15,35,13,l,0.102564103,
27,50,21,l,0.040564374,
40,55,62,t,0.006048387,
67,75,119,t,0.001003386,
78,80,162,t,0.000158278,
11,30,7,l,0.246753247,0.006249448
49,60,89,t,0.002522357,
15,35,13,l,0.102564103,0.016084257
11,30,7,l,0.246753247,
27,50,21,l,0.040564374,
78,80,162,t,0.000158278,
40,55,62,t,0.006048387,
49,60,89,t,0.002522357,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
15,35,13,l,0.102564103,0.010144527
78,80,162,t,0.000158278,
49,60,89,t,0.002522357,
11,30,7,l,0.246753247,0.024947943
40,55,62,t,0.006048387,
27,50,21,l,0.040564374,0.015663621
78,80,162,t,0.000158278,
67,75,119,t,0.001003386,
49,60,89,t,0.002522357,
11,30,7,l,0.246753247,0.024947943
15,35,13,l,0.102564103,
27,50,21,t,0.040564374,
40,55,62,l,0.006048387,0.015663621
11,30,7,t,0.246753247,
15,35,13,l,0.102564103,0.159084963
67,75,119,t,0.001003386,
49,60,89,t,0.002522357,
78,80,162,t,0.000158278,
27,50,21,l,0.040564374,0.00253386
40,55,62,t,0.006048387,
11,30,7,l,0.246753247,0.038632359
49,60,89,t,0.002522357,
78,80,162,t,0.000158278,
40,55,62,t,0.006048387,
27,50,21,t,0.040564374,
15,35,13,l,0.102564103,0.06450154
67,75,119,t,0.001003386,
11,30,7,l,0.246753247,0.015734957
27,50,21,l,0.040564374,
15,35,13,l,0.102564103,
49,60,89,t,0.002522357,
78,80,162,l,0.000158278,0.000631849
40,55,62,l,0.006048387,
67,75,119,t,0.001003386,
78,80,162,t,0.000158278,
67,75,119,t,0.001003386,
49,60,89,t,0.002522357,
11,30,7,l,0.246753247,0.024947943
27,50,21,l,0.040564374,
40,55,62,t,0.006048387,
15,35,13,l,0.102564103,0.024906774
78,80,162,t,0.000158278,
67,75,119,t,0.001003386,
49,60,89,l,0.002522357,0.00159088
40,55,62,t,0.006048387,
11,30,7,l,0.246753247,0.038632359
27,50,21,l,0.040564374,
15,35,13,l,0.102564103,
67,75,119,t,0.001003386,
11,30,7,l,0.246753247,0.015734957
40,55,62,l,0.006048387,
49,60,89,t,0.002522357,
78,80,162,t,0.000158278,
15,35,13,l,0.102564103,0.004029098
27,50,21,l,0.040564374,
67,75,119,t,0.001003386,
40,55,62,t,0.006048387,
27,50,21,l,0.040564374,0.015663621
49,60,89,t,0.002522357,
15,35,13,l,0.102564103,0.016084257
11,30,7,l,0.246753247,
78,80,162,t,0.000158278,
27,50,21,l,0.040564374,0.00253386
40,55,62,l,0.006048387,
15,35,13,t,0.102564103,
78,80,162,t,0.000158278,
49,60,89,t,0.002522357,
11,30,7,l,0.246753247,0.024947943
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
40,55,62,l,0.006048387,0.002463508
15,35,13,l,0.102564103,
27,50,21,l,0.040564374,
49,60,89,t,0.002522357,
78,80,162,t,0.000158278,
11,30,7,t,0.246753247,
49,60,89,l,0.002522357,0.024947943
67,75,119,l,0.001003386,
15,35,13,l,0.102564103,
78,80,162,t,0.000158278,
40,55,62,l,0.006048387,0.00097843
27,50,21,l,0.040564374,
11,30,7,l,0.246753247,
,,,,,
,,,,total mean,0.022780095
